Month,Day,Hour,PV-1 Solar Power,Turbine-1 Power
1,1,0,0.0,2800.0
1,1,1,0.0,2800.0
1,1,2,0.0,2800.0
1,1,3,0.0,2800.0
1,1,4,0.0,2800.0
1,1,5,0.0,2800.0
1,1,6,0.0,2800.0
1,1,7,0.0,2800.0
1,1,8,18.020405,2800.0
1,1,9,131.105997,2800.0
1,1,10,119.674808,2800.0
1,1,11,261.989401,2800.0
1,1,12,183.919694,2800.0
1,1,13,275.355957,2800.0
1,1,14,242.186346,2800.0
1,1,15,181.891729,2800.0
1,1,16,30.952468,2800.0
1,1,17,-0.0,2800.0
1,1,18,0.0,2800.0
1,1,19,0.0,2800.0
1,1,20,0.0,2800.0
1,1,21,0.0,2800.0
1,1,22,0.0,2800.0
1,1,23,0.0,2800.0
1,2,0,0.0,2800.0
1,2,1,0.0,2800.0
1,2,2,0.0,2800.0
1,2,3,0.0,2800.0
1,2,4,0.0,2800.0
1,2,5,0.0,2800.0
1,2,6,0.0,2800.0
1,2,7,0.0,2800.0
1,2,8,0.913186,2800.0
1,2,9,1.190874,2800.0
1,2,10,76.432001,2800.0
1,2,11,123.143999,2800.0
1,2,12,8.713393,2800.0
1,2,13,35.183676,2800.0
1,2,14,152.825965,2800.0
1,2,15,62.135220999999994,2800.0
1,2,16,23.489369999999997,2800.0
1,2,17,-0.0,2800.0
1,2,18,0.0,2800.0
1,2,19,0.0,2800.0
1,2,20,0.0,2800.0
1,2,21,0.0,2800.0
1,2,22,0.0,2800.0
1,2,23,0.0,2800.0
1,3,0,0.0,2800.0
1,3,1,0.0,2800.0
1,3,2,0.0,2800.0
1,3,3,0.0,2800.0
1,3,4,0.0,2800.0
1,3,5,0.0,2800.0
1,3,6,0.0,2800.0
1,3,7,0.0,2800.0
1,3,8,0.058387,2800.0
1,3,9,-0.0,2800.0
1,3,10,28.109398000000002,2800.0
1,3,11,25.746093000000002,2800.0
1,3,12,50.108496,2800.0
1,3,13,42.567982,2800.0
1,3,14,79.085683,2800.0
